id_cliente,data_venda,valor_premio,meses_ativo,flag_utilizacao,data_liberacao_credito,tipo_credito,delta_minutos,target_auditoria
10198,2025-10-29 13:29:00,200.0,2,0,2025-10-29 13:00:00,Crédito Pessoal,29.0,Alfa
10199,2025-04-05 11:45:00,200.0,9,0,2025-04-05 11:00:00,CDC,45.0,Alfa
10200,2025-07-07 09:41:00,200.0,5,0,2025-07-07 09:00:00,Consignado,41.0,Alfa
10201,2025-04-26 15:45:00,200.0,8,0,2025-04-26 15:00:00,Crédito Pessoal,45.0,Alfa
10202,2025-09-10 13:52:00,200.0,3,0,2025-09-10 13:00:00,Antecipação Saque Aniversário,52.0,Alfa
10203,2025-07-04 16:00:00,150.0,6,0,2025-06-10 16:00:00,Crédito Pessoal,34560.0,Beta
10204,2025-11-19 16:53:00,200.0,1,0,2025-11-19 16:00:00,CDC,53.0,Alfa
10205,2025-02-04 09:00:00,150.0,11,0,2025-01-18 09:00:00,Consignado,24480.0,Beta
10206,2025-08-18 14:00:00,250.0,4,0,2025-08-11 14:00:00,CDC,10080.0,Beta
10207,2025-10-03 00:00:00,150.0,3,1,2025-02-27 11:00:00,Antecipação Saque Aniversário,313260.0,Beta
10208,2025-12-26 14:36:00,200.0,1,0,2025-12-26 14:00:00,Antecipação Saque Aniversário,36.0,Alfa
10209,2025-10-07 10:18:00,200.0,2,0,2025-10-07 10:00:00,Antecipação Saque Aniversário,18.0,Alfa
10210,2025-10-15 15:17:00,200.0,2,0,2025-10-15 15:00:00,CDC,17.0,Alfa
10211,2025-12-08 15:04:00,200.0,1,0,2025-12-08 15:00:00,Crédito Pessoal,4.0,Alfa
10212,2025-05-19 11:00:00,250.0,7,0,2025-05-07 11:00:00,CDC,17280.0,Beta
10213,2025-09-30 16:51:00,200.0,3,0,2025-09-30 16:00:00,Consignado,51.0,Alfa
10214,2025-10-26 14:42:00,200.0,2,0,2025-10-26 14:00:00,Crédito Pessoal,42.0,Alfa
10215,2025-06-25 15:17:00,200.0,6,0,2025-06-25 15:00:00,Antecipação Saque Aniversário,17.0,Alfa
10216,2025-07-12 15:00:00,150.0,5,0,2025-06-19 15:00:00,CDC,33120.0,Beta
10217,2025-01-26 11:09:00,200.0,11,0,2025-01-26 11:00:00,Antecipação Saque Aniversário,9.0,Alfa
10218,2025-11-02 09:35:00,200.0,1,0,2025-11-02 09:00:00,Antecipação Saque Aniversário,35.0,Alfa
10219,2025-01-13 12:12:00,200.0,11,0,2025-01-13 12:00:00,Consignado,12.0,Alfa
10220,2025-11-09 12:45:00,200.0,1,0,2025-11-09 12:00:00,Crédito Pessoal,45.0,Alfa
10221,2025-06-22 12:59:00,200.0,6,0,2025-06-22 12:00:00,Consignado,59.0,Alfa
10222,2025-11-17 16:22:00,200.0,1,0,2025-11-17 16:00:00,Consignado,22.0,Alfa
10223,2025-01-27 00:00:00,300.0,11,0,2025-05-22 12:00:00,Consignado,-166320.0,Alfa
10224,2025-06-10 12:00:00,250.0,6,0,2025-05-23 12:00:00,Antecipação Saque Aniversário,25920.0,Beta
10225,2025-12-22 10:00:00,150.0,1,0,2025-12-20 10:00:00,Consignado,2880.0,Beta
10226,2025-10-15 15:59:00,200.0,2,0,2025-10-15 15:00:00,Consignado,59.0,Alfa
10227,2025-12-22 11:00:00,250.0,1,0,2025-12-08 11:00:00,Crédito Pessoal,20160.0,Beta
10228,2025-08-08 00:00:00,300.0,4,0,2025-06-02 10:00:00,Crédito Pessoal,95880.0,Beta
10229,2025-07-23 00:00:00,300.0,5,0,,,,Gama
10230,2025-05-05 14:23:00,200.0,8,0,2025-05-05 14:00:00,Crédito Pessoal,23.0,Alfa
10231,2025-11-10 10:55:00,200.0,1,0,2025-11-10 10:00:00,Crédito Pessoal,55.0,Alfa
10232,2025-12-08 09:01:00,200.0,1,0,2025-12-08 09:00:00,Consignado,1.0,Alfa
10233,2025-06-29 10:42:00,200.0,6,0,2025-06-29 10:00:00,Antecipação Saque Aniversário,42.0,Alfa
10234,2025-11-22 15:38:00,200.0,1,0,,,,Gama
10235,2025-02-23 11:02:00,200.0,10,0,2025-02-23 11:00:00,Crédito Pessoal,2.0,Alfa
10236,2025-04-11 09:58:00,200.0,8,0,2025-04-11 09:00:00,Antecipação Saque Aniversário,58.0,Alfa
10237,2025-09-21 13:41:00,200.0,3,0,2025-09-21 13:00:00,CDC,41.0,Alfa
10238,2025-03-01 12:55:00,200.0,10,0,2025-03-01 12:00:00,Antecipação Saque Aniversário,55.0,Alfa
10239,2025-04-18 13:50:00,200.0,8,0,2025-04-18 13:00:00,Crédito Pessoal,50.0,Alfa
10240,2025-04-13 12:34:00,200.0,8,0,2025-04-13 12:00:00,Antecipação Saque Aniversário,34.0,Alfa
10241,2025-09-19 13:50:00,200.0,3,0,2025-09-19 13:00:00,Consignado,50.0,Alfa
10242,2025-12-16 15:03:00,200.0,1,0,2025-12-16 15:00:00,CDC,3.0,Alfa
10243,2025-03-08 00:00:00,150.0,9,0,2025-12-21 15:00:00,CDC,-415620.0,Alfa
10244,2025-11-04 16:07:00,200.0,1,0,2025-11-04 16:00:00,CDC,7.0,Alfa
10245,2025-10-06 10:00:00,150.0,2,0,2025-09-26 10:00:00,Crédito Pessoal,14400.0,Beta
10246,2025-05-04 10:19:00,200.0,8,0,2025-05-04 10:00:00,Crédito Pessoal,19.0,Alfa
10247,2025-06-07 11:27:00,200.0,6,0,2025-06-07 11:00:00,CDC,27.0,Alfa
10248,2025-05-25 16:38:00,200.0,7,0,2025-05-25 16:00:00,Antecipação Saque Aniversário,38.0,Alfa
10249,2025-09-16 00:00:00,150.0,3,0,2025-11-15 11:00:00,CDC,-87060.0,Alfa
10250,2025-04-02 10:35:00,200.0,9,0,2025-04-02 10:00:00,Antecipação Saque Aniversário,35.0,Alfa
10251,2025-12-12 13:40:00,200.0,1,0,2025-12-12 13:00:00,Antecipação Saque Aniversário,40.0,Alfa
10252,2025-04-27 14:13:00,200.0,8,0,2025-04-27 14:00:00,Crédito Pessoal,13.0,Alfa
10253,2025-10-06 15:40:00,200.0,2,0,2025-10-06 15:00:00,Antecipação Saque Aniversário,40.0,Alfa
10254,2025-05-09 10:02:00,200.0,7,1,2025-05-09 10:00:00,CDC,2.0,Alfa
10255,2025-05-02 09:52:00,200.0,8,0,2025-05-02 09:00:00,Crédito Pessoal,52.0,Alfa
10256,2025-09-18 10:00:00,150.0,3,0,2025-08-27 10:00:00,Consignado,31680.0,Beta
10257,2025-05-04 14:00:00,250.0,8,0,2025-04-06 14:00:00,Consignado,40320.0,Beta
10258,2025-05-05 16:00:00,150.0,8,1,2025-04-28 16:00:00,Crédito Pessoal,10080.0,Beta
10259,2025-03-30 16:45:00,200.0,9,0,2025-03-30 16:00:00,CDC,45.0,Alfa
